Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",192.160000,-75.050000,0.000000,top
"C2","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",208.070000,-74.300000,180.000000,top
"C3","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",199.430000,-74.780000,180.000000,top
"C4","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",150.930000,-141.940000,90.000000,top
"C5","100u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",145.460000,-142.070000,90.000000,top
"C6","100u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",169.480000,-141.870000,90.000000,top
"C7","22u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",181.130000,-141.840000,90.000000,top
"C8","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",175.230000,-141.860000,90.000000,top
"C9","22u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",199.030000,-141.540000,90.000000,top
"C10","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",204.170000,-141.600000,90.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",173.170000,-107.380000,0.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",173.260000,-113.330000,0.000000,top
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",173.260000,-119.140000,0.000000,top
"D4","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",153.130000,-107.910000,0.000000,top
"D5","1N4148W","D_SOD-123",152.440000,-118.960000,90.000000,top
"D6","MBR1020VL","D_SOD-123F",128.210000,-135.370000,0.000000,top
"D7","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",145.360000,-133.160000,180.000000,top
"D8","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",145.450000,-126.970000,180.000000,top
"F1","Fuse","Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder",128.100000,-129.290000,0.000000,top
"Q1","BSS138","SOT-23",175.020000,-131.110000,90.000000,top
"Q2","BSS138","SOT-23",175.060000,-125.420000,90.000000,top
"R1","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",185.477500,-69.340000,0.000000,top
"R2","220","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",182.740000,-107.380000,0.000000,top
"R3","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",169.540000,-131.250000,90.000000,top
"R4","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",169.540000,-125.380000,90.000000,top
"R5","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",162.120000,-93.750000,0.000000,top
"R6","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",162.160000,-97.930000,0.000000,top
"R7","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",162.160000,-102.220000,0.000000,top
"R8","330","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",154.440000,-93.520000,0.000000,top
"R9","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",180.590000,-131.090000,270.000000,top
"R10","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",180.600000,-125.470000,270.000000,top
"R11","220","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",182.660000,-113.300000,0.000000,top
"R12","220","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",182.720000,-119.160000,0.000000,top
"R13","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",185.470000,-73.850000,0.000000,top
"R14","1.2k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",166.040000,-112.680000,180.000000,top
"R15","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",136.657500,-134.980000,0.000000,top
"R16","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",136.670000,-130.830000,0.000000,top
"R17","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",136.550000,-126.750000,0.000000,top
"R18","1.8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.490000,-119.640000,270.000000,top
"R19","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",161.790000,-119.687500,90.000000,top
"SW1","Program","SW_Push_SPST_NO_Alps_SKRK",199.580000,-68.390000,0.000000,top
"SW2","ResetP","SW_Push_SPST_NO_Alps_SKRK",191.930000,-68.360000,0.000000,top
"SW3","Reset","SW_Push_SPST_NO_Alps_SKRK",208.280000,-68.790000,180.000000,top
"SW4","SW_DPDT_x2","SW_SPDT_CK-JS102011SAQN",136.130000,-146.470000,0.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",195.480000,-92.460000,270.000000,top
"U4","PCF8574","PCF8574ADWR_DW16",171.650000,-83.930000,90.000000,top
"U5","AMS1117-5.0","SOT-223-3_TabPin2",159.520000,-141.630000,0.000000,top
"U6","AMS1117-3.3","SOT-223-3_TabPin2",190.070000,-141.260000,0.000000,top
"U7","DMG3415U-7","SOT95P240X105-3N",127.120000,-143.820000,180.000000,top
